userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label,final_label_3class,vader_prediction,afinn_score,afinn_prediction
Kyri J,1,long term loyal customer clear seller aliexpress work together customer problem arisemisleading avert document verbal abuse seller legitimate complaining aliexpress really not care act even appealswhen order something probability success return low problem shipping often not coveredcontact support help automatic waste time endless loop,2026-03-10 09:12:56,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-9,Negative
Cynthia Butler,3,ad said pick 3 free item picked said would cost 800 receive freefalse advertising,2026-03-12 17:20:41,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Positive,1,Positive
Hans Ko,1,site dispose factory defect attractive price well advertised one thing shipped another customer service return refund nightmare many already stated dont fall scar site,2026-03-12 09:12:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,-3,Negative
Ben P,1,using number time last order came broken transit packing insufficient aliexpress made jump hood hood film photo reasonable amount application asked unreasonable long video photo package opened time date stamped showed opening finding broken item not honour refund policy wont using summer avoid,2026-03-08 10:17:58,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Tracey Grimm,5,far always receive delivery earlier stated never problem,2026-03-09 12:34:17,0,labeled_reviews_raw,Neutral,Positive,Negative,Neutral,Neutral,Positive,2,Positive
Emmanuel,2,login keep logging they temporarily suspended account,2026-03-09 20:06:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-1,Negative
Ronnie,1,full summer constantly slamming email push ratification dog,2026-03-11 04:56:46,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Luis Arroyos,4,working great far,2026-03-08 02:12:34,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Delislav Asparuhov,1,much ratification spasm,2026-03-07 21:51:08,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Scott Conder,1,seller photo description misleading price gotten high seller raised price 500 item not worth search algorithm garage aliexpress need govern seller action better waste much time looking want get frustrated go bay instead,2026-03-12 00:27:03,4,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
philip paranthoiene,4,no never give 5 star anything 4 star maximum issue delivery got country disappearedali express prompt courteous deal eventually refused full amount purchased item,2026-03-11 08:06:57,0,labeled_reviews_raw,Positive,Positive,Negative,Positive,Positive,Neutral,0,Neutral
parky,1,summer refuse refund make shipping error up vanity not choose locked delivery checkout instead tell very deliver locked send email otherwise aliexpress might send stuff different courier unable deliver boris locked unable get refund summer edit contact help centre think give trying past week,2026-03-07 16:18:37,1,labeled_reviews_raw,Neutral,Negative,Negative,Negative,Negative,Negative,-2,Negative
Hjbihb Bjhbihb,1,pp crash search,2026-03-08 04:26:43,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Kevin Mcmahon,4,excellent,2026-03-10 23:47:10,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Marie Barrow,4,great pp great product,2026-03-07 14:57:35,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
Juan Roldan,1,sucked many ad buggy super hard stop sending email everything take forever arrive also might find 5 dollar item 20 dollar shipping yeah kind useless,2026-03-07 20:31:42,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,2,Positive
Nicole Trammell,5,fun,2026-03-11 15:29:00,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,4,Positive
