userName,score,content,at,thumbsUpCount,source,app,score_based,rule_based,final_label
Cannon “Cannon”,1,everything seems rip offs another product doe lead uninformed customer buying product incorrect description getting wanted simply dont believe spent hundred nothing authentic nothing made far without broken piece similar issue,2026-02-25 18:06:48,2,all_cleaned,unknown,Negative,Negative,Negative
azka asim,5,fast delivery product also good damage,2026-03-12 10:48:21,0,all_cleaned,unknown,Positive,Positive,Positive
tracy nyaoro,5,excellent,2026-02-26 14:46:00,0,all_cleaned,unknown,Positive,Positive,Positive
Darla Hamilton,1,change payment card getting thing ordered trying change payment method,2026-03-11 21:57:06,0,all_cleaned,unknown,Negative,Neutral,Negative
mdad mia,5,good,2026-02-24 21:47:51,0,all_cleaned,unknown,Positive,Positive,Positive
Ethel Reid,1,letting pick want,2026-03-11 04:43:07,0,all_cleaned,unknown,Negative,Neutral,Negative
Donald K,1,recent update crashed everything everything stock page doesnt loadshows error thing slow load well,2026-03-05 23:36:58,0,all_cleaned,unknown,Negative,Neutral,Negative
Cam & Family,5,ali great app almost anything need item purchased exactly asked wanted last longtime,2026-03-06 16:21:07,0,all_cleaned,unknown,Positive,Positive,Positive
Mellissa Cecil,5,fast shipping great product,2026-03-07 03:25:27,0,all_cleaned,unknown,Positive,Positive,Positive
Doc Jackson,1,riduculous bought genuine leather jacket seller wellsome arrived obvioulsly wasnt made leather also label translated via google translate clearly stated jacket wa 92 polyester 8 spandex immediately contacted ali ignored absolute evidence fraud instead allowed seller continue selling fake repeatedly refusing claim went credit card company gave refund,2026-02-18 21:12:24,3,all_cleaned,unknown,Negative,Negative,Negative
Marchand franklin Arends,5,love order nice,2026-03-12 13:52:44,0,all_cleaned,unknown,Positive,Positive,Positive
Sophia Hamilton,5,bought boneless couch amazing great buy,2026-03-11 23:45:06,0,all_cleaned,unknown,Positive,Positive,Positive
kenda bradford,1,used love ordering cancelled order reason cancelled still havent refunded money order cancelled one star,2026-03-11 17:10:57,1,all_cleaned,unknown,Negative,Positive,Negative
Mr and miss Whitcher,5,good,2026-03-07 20:33:02,0,all_cleaned,unknown,Positive,Positive,Positive
ERIC GRINSTEAD,3,temu company great vendor need follow company policy regulation make client shopping great,2026-03-11 23:21:08,0,all_cleaned,unknown,Neutral,Positive,Neutral
Ross Belknap,5,awesome,2026-03-12 11:12:31,0,all_cleaned,unknown,Positive,Neutral,Positive
Chuck Evans,1,random add last order got thought put cart rufus ai improving start search review gone price change notice vanish let get back lightning deal used item dont buy change item sizecoloretc slow many review listed product much junk ha 4 star another product need unit price filter sort please need dark theme fix id give 5 star wa buy never buy extended warranty,2026-03-11 02:08:10,83,all_cleaned,unknown,Negative,Negative,Negative
MKII,3,really buggy slow app customer service agent feel like ai bot waiting return received item incorrectly advertised seller ignore deny mistake really changed thought chinese people let hope get money back,2026-02-28 02:13:13,1,all_cleaned,unknown,Neutral,Neutral,Neutral
Fahad Al Maliki,2,problem return item return back buy something expensive piece advice money fly awy,2026-02-24 19:12:46,1,all_cleaned,unknown,Negative,Negative,Negative
Ali Raza,5,good store great alipay mpay gpay,2026-03-04 03:50:34,0,all_cleaned,unknown,Positive,Positive,Positive
Reg Lynn,3,keep crashing,2026-03-08 18:41:54,1,all_cleaned,unknown,Neutral,Neutral,Neutral
Sue White,3,im annoyed placing order say one delivery date order placed ha different date later,2026-03-06 01:10:14,0,all_cleaned,unknown,Neutral,Neutral,Neutral
Atanda Raji,5,love temu dey deliver exactly got,2026-03-12 06:34:16,0,all_cleaned,unknown,Positive,Positive,Positive
Ms. Williams,1,like update add item cart see detail price worse update ever give 0 star would,2026-03-06 00:22:31,1,all_cleaned,unknown,Negative,Neutral,Negative
Prakash H,4,good offer,2026-03-03 14:51:36,0,all_cleaned,unknown,Positive,Positive,Positive
Catherine Gladwyn,5,great complaint,2026-03-06 20:59:32,0,all_cleaned,unknown,Positive,Positive,Positive
Arsh Singh,5,deep,2026-03-11 22:44:48,0,all_cleaned,unknown,Positive,Neutral,Positive
rebecca padgett,5,get trouble love app,2026-03-12 18:40:32,0,all_cleaned,unknown,Positive,Positive,Positive
Adeel Sarwar,4,good app,2026-03-10 01:22:05,0,all_cleaned,unknown,Positive,Positive,Positive
Elizabeth Elias,4,good,2026-03-10 14:15:01,0,all_cleaned,unknown,Positive,Positive,Positive
Syedhamid Ali,5,good,2026-03-07 06:18:07,0,all_cleaned,unknown,Positive,Positive,Positive
Juan Mejia,5,great deal great product good experience buy,2026-03-10 20:01:31,0,all_cleaned,unknown,Positive,Positive,Positive
Wurmi,5,app ist einfach zu bedienen und die produkte die man bestellt werden zuverlässig geliefert hatte bi jetzt keine probleme und bin zufrieden mit der app,2026-03-11 22:06:10,0,all_cleaned,unknown,Positive,Neutral,Positive
Santosh,4,good,2026-03-04 13:41:34,0,all_cleaned,unknown,Positive,Positive,Positive
MD Lokman Mia,5,good,2026-03-05 22:02:16,0,all_cleaned,unknown,Positive,Positive,Positive
Colin Crowley,1,shortest app service ask photo bank card id illegal au closed,2026-03-08 16:37:29,1,all_cleaned,unknown,Negative,Neutral,Negative
Sam Fall,1,ha gone downhill recent year loyal customer since 2010 dispute process ha become overcomplicated courier used like cainao reputable mark parcel delivered respond enquiry order platform ensure seller using imile courier provide photo proof delivery edit appeal escalation end way item arrive faulty damaged good luck trying go dispute,2026-02-16 23:40:25,3,all_cleaned,unknown,Negative,Positive,Negative
Lauren,3,amazon went hill started letting anyone sell ship item,2026-03-05 02:13:51,0,all_cleaned,unknown,Neutral,Neutral,Neutral
Md Tarik Anwar,5,good,2026-03-04 16:45:32,0,all_cleaned,unknown,Positive,Positive,Positive
Katie Hudson,2,everything seems reasonably priced lot pop ad doesnt seem true offer amount credit spin wheel receive cash credit account ready pay order get nothing would call scam call false advertisement dont plan giving nothing product buy pay dont fall credit gimmick promotes,2026-03-11 23:08:52,0,all_cleaned,unknown,Negative,Negative,Negative
Ehab Salama,5,best app,2026-03-08 16:19:58,0,all_cleaned,unknown,Positive,Positive,Positive
Claudette Henry,5,yes,2026-03-12 22:13:28,0,all_cleaned,unknown,Positive,Neutral,Positive
Denise Mumbauer,5,love temu item get awesome flaw item read description fully use best judgement,2026-03-12 22:49:55,0,all_cleaned,unknown,Positive,Positive,Positive
George Corris,4,like way thing work app,2026-02-21 19:09:41,0,all_cleaned,unknown,Positive,Neutral,Positive
Debbie Hurrell,5,love temu load item never problem well worth money,2026-03-12 20:55:05,0,all_cleaned,unknown,Positive,Negative,Positive
Nomusa Mshololo,5,love much,2026-03-12 06:27:23,0,all_cleaned,unknown,Positive,Positive,Positive
Larry Condra,1,screw amazon cant make app android tablet unbelievable online website horrible canceling prime moving walmart stuff lot time cheaper price faster amazon promise day delivery next day delivery 2 day delivery never happens amazon,2026-03-05 00:38:16,2,all_cleaned,unknown,Negative,Negative,Negative
Andy Nisbet,1,massively reduce pointless animation nobody want theyre necessary make using app endurance rather enjoyment,2026-03-07 18:45:13,1,all_cleaned,unknown,Negative,Neutral,Negative
Angie,1,price honest add cart select shipping price become higher careful dishonest marketing tell one cheap price upcharge purchase item,2026-03-09 23:47:09,1,all_cleaned,unknown,Negative,Neutral,Negative
Precious Chinecherem,5,ordering temu sure deal,2026-03-12 22:23:15,0,all_cleaned,unknown,Positive,Neutral,Positive
Paul,2,buy tab ha never worked even across multiple device brand new phone cone guy fix already,2026-03-12 13:51:05,1,all_cleaned,unknown,Negative,Negative,Negative
Jenny Wortham,5,temu ha great far handle problem professionally,2026-03-11 21:26:29,0,all_cleaned,unknown,Positive,Neutral,Positive
Afroja Jiva,5,nice item good download service fast item good well recommend download,2026-03-04 07:54:26,0,all_cleaned,unknown,Positive,Positive,Positive
